tweet,class
الدنيا مش ابيض يااسود دنيا كل الالوان حط لوني على لونك نوصل ابعد مكان كل حلم وله بداية بس شرط تكون معايا #كاريوكى,neu
' انا قررت معملش فلو لاي حد ف ثانويه عامه لانهم عقدوني بصراحه ..حاسس ان كلهم هيسقطو السنه ديه. ',neg
' من ظن ان الرزق ياتى بقوه ما اكل العصفور شيئا مع النسر تزول عن الدنيا فانك لاتدرىاذا جن عليك  الليل هل تعيش الى الفجر الامام الشافعى ',pos
"#البرادعى قال مصالحه يبقى خاين, #السيسى قالها يبقى #لا_للمصالحة بس هو بطل مغوار #تويت_كانك_معرص",neu
' #MinaAtta #MinaAtta_on_cbc #مينا_فخر_العرب #عايزين_مينا_على_تويتر يامينا وكل ما ليا حياة قلبى ونور عينى فينك يامينو وحشتنا اووووووووووووى ',pos
"' ""*...أريدك ملهمي ومُلتهمي.... رجُلاً حيناً...وحيناً قلمي...\"""" #عليك_اللهفة #أحلام_مستغانمي '",neu
' وعلى اسبيل السعادة اخيراً قبلت بسبوسة @basbosa10  وقولتلها happy birthday واديتها الهدية بتاعتها ^_^ ',pos
احاول ان اتعاطف مع من رماني بالخيانة والكفر واستخدم الدين لتحريض الناس علي وعرض اسرتي للخطر و شكك الناس في ديني طب ازاي؟,neg
' @sl_889 بنت خالي واختي هما صندوق اسراري ',neu
أيها الاخوان الا تذكرون 52 شهيدا قتلتهم شرطة محمد ابراهيم بأوامر من مرسي عندما شكر مرسي القتلة واعلن حظر التجول اعترفوا بجرائمكم,neg
"استمرار مأساة غرق شبابنا في محاولات يائسة سعيا وراء ""لقمة العيش""ما هي أسبقياتنا وأين نحن من أهداف الثورة : عيش،حرية،كرامة إنسانية ؟",neu
' @emoo_wahba  ايوه بقى يا سلام على الكلام ',pos
أنا ارشح قيادات وشرعيي #جبهة_النصرة لنيل جائزة #أوسكار في التأليف المسرحي وكتابة القصة الخيالية القصيرة #ريتويت إذا كنت مؤيداً,pos
بتضحكني فكرة إن إخواني أو سلفي يقولك أنتم أتفه من أن نهتم بكم مع إنه بايت تقريبا طول اليوم على تويتر يبعت منشنات شتيمة وتكفيرمن التافه إذن؟,neu
حين نناقش قرار للحكومة نتحيز له بحجة :بلاد بره كلها بتنام بدري،تيجي لاطلاق حرية العقيدة: احنا مالنا ببلاد برة؟,neu
' حسدونى بزيادة ',neg
' لمجرد انك لسه عايش دة دليل على انك لسه قادر تعمل حاجات كتير.. ',pos
' @SOoMemE يا حاج فوزي مسا مسا و لا يهمك  خودي الاكونت كله اصلاً ',pos
اشارة رابعة اشبه بنار تحرق الانقلابيين,neu
"مأساة !! عضو العسكري وأحد المسؤولين عن الحكم: المتظاهرين""رفضوا تماماً حمايتهم من المجهولين"" نجاح الثورة لا ريب فيه والنظام السابق الي زوال",neu
#محمد_مرسي بميدان #رابعة_العدوية وقت الحملة الإنتخابية هل يستطيع السيسي أن يخرج من مخبأه لترويج لحملته؟ #غرد_بصور …,neu
' الأطفال ليهم الحق فـ رأيهم السياسي .. أصل لما طفل يبقى صاحبه معتقل او شهيد اكيد مش هيسكت .. ',neu
' الدونيا سيرك و مسرحيه و ناس كتير عينيها عليا :( ',neg
' @nane_tot على فكرة اللى بيكتب بايو جميل و ورود وصورته حاطتها عيون و رومانسية ويطلع فى الاخر أخوان ابن كلب ويزعل منى عشان بشتم فيهم طز فيه ',neg
' سلمي صاحية بتهيب ايه ؟؟؟؟؟؟؟؟ ',neg
' انتو ازاي مبتحبوش البسله ❤..!! ',pos
"الإسلام شيء غير هذا المعنى الذي أراد خصومه أن يحصروه فيه, الإسلام عقيدة وعبادة ووطن وجنسية وسماحة وقوة وخلق ومادة وثقافة",pos
أزف الوقت لإنهاء الاستقطاب البائس الذي نعيشه بأسلوب عقلاني، وأن نتحلى بروح التسامح، لنبدأ في البناء بسواعد كل مصري ومصرية,neu
الانقلاب كشف مئات الحقراء في السياسة والاعلام والاقتصاد والفن والرياضة، لكنه أضاء لغيرهم طريق الحرية شكرًا سيف عبد الفتاح,neu
' @amr_elqatary  هل انت تتعاطى اى نوع من انواع المخدرات ؟؟ XD ',neu
فى وطنى يموت من لايستحق الموت على يد من لايستحق الحياة #سأنتخب_السيسى_و_مش_هنزل_لمستواك,neu
من اتهموا الاخوان بالفاشية الإسلامية استقدموا علماء الدين لإقناع الجنود بقتل إخوانهم المصريين من المتظاهرين,neu
' @AliEngmohammed8 فندق اتلانتس ',neu
علوم الإمارات - | العثور على 3 خادمات هاربات عبر حساباتهن في فيس بوك #الإمارات #,neu
انغام وزيره البهجه على رأى #بلال_فضل,pos
' @hwdg20 أنا لو تبي حتى ألحين أجيك ',pos
استهداف مقرات الاخوان ثم التيار الشعبي ثم الوفد هي خطة محكمة لاخلاء هذه الشقق و تأجيرها مفروش,neu
ورضيت أعيشلك انت يا حبيبي كفايه ان انت حبيبي #عمرو_دياب,pos
_ و عودة مرة أخرى للقاهرة الساحرة :),pos
أطالب بمرسوم عزل سياسى لفلول الوطنى,neg
' @ranasamaha9t #RanaSamahaTea اجمل الاوراق ورقه تكتب فيها لإغلى الناس http://t.co/uloWoVMdqX ',pos
' @Randa_hamdy  اتمنا.لك.امسيه.سعيده. كلها.فرح.وسرور.. http://t.co/nWYmrSTa9k ',pos
' @mennaallyy @MenemMosad1 عندك حق ♥♥ ',pos
مقدرش أحترم رأيك لو انت من #الاخوان او من #النكسجيه بتوع #ثورة_يناير ناقص تقولي إحترم رأي أعداءنا الاسرائيليين #مصر #الاخوان_المعرصين,neg
' واللي يطنش ....يطنش بكرة يتطنش ',neg
عزيزي المتطرف: قبل أن تستخدم تعبير أسد في وصف شيخك، فكر قليلا في مشاعر السيدة والدته,neg
دضياء رشوان: أن الدكتور عبد المنعم أبو الفتوح الأكثر اعتدالاً سياسيًا وديننًا، كما أنه اجتهد فى مقاصد الشريعة,pos
' الاختيار: قصة سيدى الحارث تربيزة خبط بالعقل أغنيةكام واحد لزاب يخت عالقهوة افضل ضيف: زاب ثروت ♥ اشهر زبون لكلوك #3alahwa ',pos
' @Toty812013 هههههههههههههههههه ',pos
بنحط جزء منها على تويتر لكن نص البيان بيكون على الفيسبوك او على الموقع /2011,pos
#السعاده اخوية يهتم بيا اكتر من نفسة حتى و هو بعيد عنى,pos
' و العشم لما يطلع علي الفاضي بتبقي اكبر مقلب ممكن تاخدة !! ',neg
' الاهلى هيكسب فرق سكور كبير نيك ',pos
والله ما عارف أضحك الله يحرق #ثانوية_عامة على مدرسينها واحد واحد,neg
الاخوان سيضاعفون اعتصاماتهم الإجرامية وغاراتهم المسلحة لأنهم تحت حماية امريكا وحكومتنا تتفرج وتحدثناعن اهمية التسامح طبقوا القانون اوارحلوا,neg
متفق مع جوانب بمقال أحمد خالد توفيق وأعتقد أن التحفز ضد الحاكم دون فبركة أو كذب هو أمر مهم في بلد تعشق صناعة الفرعون,neu
' أللهم إغفر لنا ولجميع أمة المسلمين واشفي مرضانا ومرضى جميع المسلمين وانصر أهلنا في الشام وفلسطين والعراق واليمن وسائر بﻻد المسلمين ',pos
' @BanaShawakfeh انا بحكي طرمس -.- و كل جبل القصور بحكوا طرمس -.- ',neu
لم يترك الانقلاب نقيصة الا وعملها,neg
' @Amira111forever لاتبكي علي شئ ذهب.  فكل ذاهب فالحب. كالموت لايعرف مذاهب ',neu
2د بل وأغراهم بالفعلة الإجرامية المتمثلة في تهديد المجتمع بالعنف، وبالتحريض على ممارسته باسم شرعية سقطت، وبالشحن الطائفي والمذهبي,neg
' انا سعيدة. ',pos
' احتراف القياده بكل معانيه ..شاهد هذا الفيديو وستراه #بوابة_المصدر https://t.co/gA8oBJ4Nzs #خمسة_لاعبين_تحبهم_من_خارج_فريقك 2 ',neu
' @VodafoneEgypt انا عنده مشكله و ومحتاجه مساعده ',neg
كان حلم حلو فى اوله شوقنى انى اكمله  #25_يناير,neu
' #الوطن   إنفوجراف   الزيادة في أسعار 2014 http://t.co/FG3nJUnCwL ',neu
' @HamzaMohamed83 ظهر مؤمن رابع بيشيش فى احدى كافيهات المهندسين ',neu
كيف يعتدى البلطجية ابناء مبارك على الناس امام 5 الاف فرد امن وشاشات التليفزيون ويعترفون بجريمتهم في بيان ولا يقبض عليهم ولا حتى يحقق معهم,neg
ضد الانقلاب: اعتداءات وحشية على المتظاهرين المتجهين للتحرير مع الانقلاب: الله يرحم العصير والجوايز للمتظاهرين فى التحرير,neg
في اول جولة الإعادة دعا الأسواني لجبهة تدعم مرسي بشروط الثورة فلما رفض الاخوان شروط الثورة دعا الى المقاطعة ومواقفه كلها منشورة وهو فخور بها,pos
' يسرقون رغيفك ثم يعطوك منه كسرة .. يا لوقاحتهم .. ويا لهطل أمك http://t.co/QHBWWi5K9q ',neg
بالنسبه للبنات الى لما بترتبط مابتكلمش ولاد دا محن صح :) بصوت عمر مجدى #كفاية #محن #بقي,neg
' @bestHayah وقف وسلم علينا وكنت هحذف المنشور لقتكو حذفتونى شكرااا ليكووووووووو ',neg
كل عام وأنتم بخير وكل منا في سلام مع نفسه ومع الغير وفي وطن يتسع للجميعمازالت قناعتي أن شباب مصر الثورة هم الحل والأمل:فكر خلاق وقيادة فتية,pos
' القلم اتكسر. ايدكو علي 82 جنيه. ',neg
كلمة مرسي الموفقة في طهران حيتم توظيفها جيداً في الداخل بصراحة ما أقدرش ألوم الإخوان على استغلال مكاسب سياسية خارجية لخد,neu
#المجد_للمبتسمين #المجد_للمبتسمين_صباحا,pos
اللجنة التأسيسية باطلة والاعلان الدستوري باطل والدستور نفسه باطل والاستفتاء سيكون باطلا أقسمتم على طاعة المرشد ونحن أقسمنا على حماية الثورة,neg
تجديد حبس #ياسر_علي متحدث رئاسة #المعزول 15 يوما في قضية التستر على #هشام_قنديل| ياااااه وحشتونا ووحشتنا نوادركم …,neu
678 ماحدش يجبرك على حاجة روحي الفيلم الكويس وقاطعي الوحش,neu
العالم سيشهد تجربة انتخابية بمصر لا مثيل لها وتربطنا مصالح مشتركة بإثيوبيا …,pos
المشكلة هي في أنصار الجدل العقيم، المشكلة هي في أحزاب وتيارات تريد دستورا رجعيا بنتقص من الحقوق والحريات باسم خطر متوهم هو مخالفة الشريعة,neg
"' """"""حين أموت لا تحزنوا  فإنه مجرد وقت وتنسوني ،،، كما نسيتوني وانا حي"""""""" '",neg
' كلا إن معي ربي سيهدين .. ',pos
' @ElNoujoummNews @nogaghaly1 يوصل بالسلامه ... مصر هتنوووور ',pos
إِيّاكَ نَعبُدُ وَإِيّاكَ نَستَعينُ,pos
اتابع بسعادة واعجاب مئات المغردين الشجعان اسلوب شيق وخفة دم ورؤية ناضجة واستنتاجات مذهلة مواهب مصر كثيرة يدفنها الفساد والواسطة واللصوصية,neg
' أحوال البشر عند الموت وفي البرزخ.. http://t.co/T4xc1b3hpS ',neu
واكتر ناس تآمنهم ما بيجي الجرح غير منهم وناس انت بعيد عنهم بتنسي معاهم الاحزان #صلاح_جاهين,neu
# تقريبا دي اكتر حاجة قريتها جسدت المذبحة اللي حصلت لاقرب ما يمكن #مذبحة_بورسعيد,neg
' الناس ام دم خفيف ♥ ',pos
لو صح خبر مبادرة قيادات الجيش بالاعتذار لمرسي واعادة هيكلة الجيش ومحاكمة الانقلابيين والقتلة سيكون ذلك أفضل حل للازمة وانقاذ لمصر من الخراب,neu
الثورة كانت تستحق دستورا جديدا محترما تكتبه جمعية تأسيسية منتخبة ربنا يسامح من اوقعنا في هذا المازق عموما الثورة لها جولة اخرى وستنتصر,neu
سأنتخب عمرو موسى ما هو أكيد يعنى مش هينتخب يسارى أو إسلامى,neu
' لم أجد حل يحل محل الحال الحالي لحالتي حاليا ',neg
باااااااااااااااااطل ياولاد التيت :/ من مسيرة #المطرية #أنا_حازم #مرسي_رئيسي #ياخاين_ياسيسي #حتماً_سنعود,neu
#حقيقة و #نصيحة الافكار اللي بتجيلك قبل النوم دي لازمالها ورقة و قلم عشان بجد بتبقى جامدة على المدى البعيد #اه_والله,pos
اليوم بقالي سنه تقريبا ع #تويتر انا واحده من الي اضحك عليهم ف #25_يناير وسبب رئيسي من نشأة الحساب اني افهم ابعاد المؤامره من اصحاب الفكر,neu
' #حاجة_بستفز_منها الاطفال التبتة :-D ',neg
' ليكن كلامك مع من حولك عنوانه دائماً الإيجابية والتفاؤل ..  وأساسه محبة الخير للغير .. صبــــاح الـــ خير ',pos
"ياسر أبو عمّار في #سياسة_في_دين : غيّرت موقفي من حزب #النور بسبب مواقفه المخزية مع الرّئيس #محمد_مرسي ووقوفه مع """,neg
قرار انسحاب البرادعي خاطىء وتوقيته خاطىء #السادة_المحترمون,neg
' @YaZamalek ولا لاعب لعب الماتشات ال15 اللاعبين كلهم تغيبوا فى بعض الماتشات ',neu
' @MostafaMakawi @sallyesmail2 لا تلموا الفرعون و لكن لوموا اشعب احترف صناعه الفراعنه و تأليههم ',neg
وكل عيد قيامة وأنتم ومصر بخير,pos
الاخوان لا يحرقوا كنائس يا مروج الكذب,neg
هذه هي نتيجة تخريب عقول مشايخ الفتنة لعقول المصريين ياخفي الألطاف نجنا مما نخاف,neu
هناك مكان في قاع الجحيم لمن اخترع تويتر,neg
' @nasern646 انتا بتعمل ايه ',neu
اللي يشوفك يتمنى يكون مثلك واللي يعرفك يحترمك ويحبك واللي يسمع عنك يتمنى يقابلك ! #حاول,pos
' #عن الشخص اللي بيبقي نفسك تفضل تتكلم معاه 24 ساعة في اليوم . ',pos
' @MMSBy.  &lt;3 وربنا كده كتيرررر ',neg
' ساكت من برا .. بس راديو من جوا ',neg
اسطورة اغلبية الشعب معاه، نصف الشعب طنش الانتخابات، و نصف اللي شارك لم ينتخب مرسي، و نصف اللي انتخبه عاصر لمونة و بيتظاهر ضده,neu
' واخيرا نت واخيرا شفت امي✌️✌️ ',pos
' انا باجى على الوقت ده و ببقى عاملة كدة سورى آم نوت سورى ',neg
' @magdymohamed_ @zszs1122 @Muslim555Arabic هم الوزيرالعلقمي وازﻻمه الذين فتحواابواب بغدادللتتارالمغول هم احفاد ابي رغال رائدالعدروالخيانه... ',neg
الانقلاب يدمر ثورة 25 يناير بدأوا بالاخوان وتحولوا للكتل الثورية من الشباب واليوم يذبحون الالتراس,neg
' هوا مفيش حد صاحى غيرى انا ولا ايه ',neu
ايام حلوه الايام #عمرو_دياب,pos
' شاي و بسكويت للمره الرابعه علي التوازي ..^_^ ',neu
' سئل حكيم : هل هناك أقبح من البخل ؟ قال : نعم الكريم إذا تحدث بإحسانه لمن أحسن اليه . ',neu
' للاسف مش قادر انسي اصلاً :(  #prt ',neg
تحية وتقدير لچورچ اسحاق ستبقى دائمًا رمزًا للشجاعة والوطنية وإنكار الذات الثورة مدينة لك بالكثير,pos
افضل لاعبي الدوري الانجليزي في سنة : ٢٠٠٩ #رونالدو في الصيف الذي يليه انتقل الى الريال ٢٠١٣ #بيل في الصيف الذي,neg
3 الدم المصري كله حرام، أدين الاعتداءات على مقار الإخوان والحرية والعدالة وكافة أشكال العنف، جميع الضحايا مصريون لا فرق بين إخواني وآخر,neg
' @ToOoTaZ @ShereenYehia10 #ShereenYehiaArmy مينا معاها ؟ شيرين يحيى ',neu
كل الدساتير الماضية سقطت لانها لم تكن وفق ارادة مجتمعية #السادة_المحترمون,neg
#الحياة_جميلة عندما تستخدم أدوات #السعادة بها #الأمل و#الفأل_الحسن و #الإيجابية و #الإيمان بقضاء الله وقدره خيره وشره,pos
"' ""\""""@B3B9XMX9: لا إِلَهَ إِلاّ اللهُ واللهُ أَكْبَر • ❁\"""" '",pos
رجُولتكَ وهَبتني أُنوثّه مُختَلفَه ، مَ اَجمَلني بِكَ ! #صباحي,pos
اغلاق كل الساحات والميادين الكبرى لمنع صلاة العيد وصمة عار على الانقلاب وحسابهم فى الاخرة عسير,neg
ماذا تفعل المعدة اذا فاجأها الكبد بضربة قاتلة؟ انها مصر ضرباتنا القاتلة تأتينا ممن كانوا أهلنا وجيراننا وابنائنا,neg
كنت واثق ان احداث #رابعة والدماء التي سالت سوف تكون لها اثارلكني لم اتخيل ابدا انها تصبح وقود يلهب مشاعر الملايين وتحي…,neu
' @memoali4ever  لا ولا دحيح ولا نيلة بس في مستقبل بيضيع والامتحان بعد بكرة ',neg
' @ala3in2003 ما يحتاج ! اكثر فريق فايز بالدوري و الابطال ☺️ ',pos
أما المتأسلمين الجهال #أدعياء_السلفية #الجامية لا أخلاق ولا مبادئ يتشمتون ويضحكون على جثث #مجزرة_رابعة_العدوية …,neg
(ذلكم بأنه إذا دعي الله وحده كفرتم وإن يشرك به تؤمنوا فالحكم لله العلي الكبير) [غافر:12] #أحبك_ربي,pos
وصلت المطار من الدقي في 11 دقيقة فعلا ساعة الحظر ما تتعوضتش,neg
#أنتخبوا_العرص سؤال فقيق : أنتخابات الرئاسة القادمة بين السيسي وصباحي عبارة عن تمثيلية؟ لأ دى مسرحية بطولة أتنين واحد #هاشتاج والتاني #مشتاج,neg
نص فريق تنزانيا متآمر على حارس مرماه حاجة تفطّس من الضحك,neu
الاعتداء على الفنان خالد يوسف من قبل بلطجية ابو اسماعيل يدل على ان مرسي وجماعته قد انتقلوا بمصر من الدولة الى العصابة ستسقطون كما سقط مبارك,neg
' صلاة #الفجر ركعتين بين ادين ربنا ب الدنيا كلها ❤️ ',pos
' مابين همزة وصل وعلامة تعجب تكمن الحكاية ! ',pos
أحد ضحايا عنف الإخوان المسلمين المؤيد للفريق السيسي #السادة_المحترمون,neu
' صور حصرى من مطار القاهره لاستقبال #القبطان و #الصقر http://t.co/A0ICAKIP7a ',pos
"""#الهولوكوست"" أبشع جريمة في التاريخ الحديث!صوتي يا انشراح على اساس ان اللي بيحصل للفلسطينيين مش مكفيه …",neg
#يوسف_الحسيني كل ما ندعمه هو عدم سقوط ارض الياسمين ذات التاريخ العظيم,pos
' كلية كلبة جدا !! ',neg
في ضوء الفوضى والتشرذم حان وقت تصحيح المسار: دستور جديد يضيء الطريق ويحدد الثوابت، انتخابات برلمانية عندما يستوي الملعب، ثم انتخابات رئاسية,neu
#أحبك_ربي الحمد لله,pos
' @FMeqdad يسلموا ',pos
أثق في رؤيةأحمد سعيد وأعلم التزامه بمبادئه وأنا معجب بتصريحه أن الحزب يستطيع أن يكون حزب الأغلبيةوأتمنى فوزه في الانتخابات لتحقيق تلك الرؤية,pos
من أخلاق الأخوان لله دركم ياأبناء البنا ! #مرسي_رئيسي #الشعب_يرد_تحية_الرئيس #انتخبوا_العرص #انصاف_الاخوان,neu
' @gergyeous الإتصال برقم الطوارئ 112 أو الشكوى لدى المخفر التابع الذي يقع مكان إقامتك ضمن النطاق الإقليمي ',neu
' @2ff72ab79b474bf هذي حقول نفط ليبيا تحترق ',neu
' @LinaAbdElhadii عظيم عظيم ',pos
"#مصر • رفع شعار رابعة اثناء كلمة اوباما ف ماليزيا المؤمن للمؤمن كالبنيان المرصوص ""(ઊ316) #انتخبوا_العرص",neu
الامن والامان في حكم العسكر اصبحنا فعلا اضحوكمة العالم #انتخبوا_البرص,neg
كانوا أقزاما مع ناصر والسادات ومبارك وطنطاوى والان يقولون الا السيسي الخسيسي يفضل طول عمره خسيسي,neu
' #RanaSamahaTeam #ومكملين_المشوار  @ranasamaha9t  مين عايز يسمع رايديو رناااا  http://t.co/wZEYewmheR ',neu
' @FatimaNaoot خلى السيسي ينفعك http://t.co/xZRZFlRhyA ',neg
عاش محمد مرسي مفجر ثورة ديسمبر وحفظ الله الغباء صديق السياسيين الفشلة الوحيد ورحم الله الشهداء السابقين واللاحقين,neu
#يلا_نحفل_علي_احمد_ادم الرد هشتاج بردوا #باسم_طلع_حرامى,neg
الاعلام الفاسد وفئرانه اميركا تساند الاخوان واليوم وفد من الكونجرس يلتقي سيسي والطرطور وبلاوى مجانين رسمى,neg
' انا اكتر حاجة ممكن تخسرنى حد  انه ميصدقنيش انه يكذب الكلام اللى بقوله ',neg
معااااااااااااااااااك يا ريسنا معاااااااااااااااااااااااك #تحيا_مصر #السيسي_حبيب_الملايين #سأنتخب_السيسي,pos
بيان الجيش واضح ولا مجال للحديث عن انقلاب عسكري إلا من كذابي الإخوانمرسي استهان بشعبه وقرر أن يكون رئيسا لعشيرته فقط فأسقطه الشعب,neg
#حمدين_عاوز_يحاكم_السيسي دا مش كلام ياناس ده اتفاق حمضين مع الاخوان -مصيبه لو استبدلنا اهبل بعبيط #سأنتخب_السيسى_و_مش_هنزل_لمستواك,neu
"' ""#الوطن   أكثر من 100 مهاجر يعبرون الأسلاك الشائكة إلى جيب \""""مليلية\"""" الإسباني http://t.co/8FvUuJwVy9 '",neu
رئيس يطبق الشريعة دون أن يكون مسلما ولايسير في مواكب مصفحة ولا يكذب على الناس بحركات إستعراضية ويفتح قصره للفقراء,pos
ياقوة الله ياقوة الشعب,pos
#مصر مش تكية !!! يا #هاشتاج يا #إبن_المثالية,neg
#عبد_الرحيم_علي: اسألوا #البرادعي عما فعله في #العراق #البرادعى_طلع_جاسوس #باسم_طلع_حرامي #تخابر #خونة,neg
اجمع ٣ اعلانات دستوريه واحصل علي طائر النهضه مجانا ٠٠ هذا العرض ساري حتي ١٥ديسمبر,neg
"بيونغ يانغ تشبه رئيسة #كوريا_الجنوبية بـ""عاهرة"" و #أوباما بـ""قوادها"" #كوريا_الشمالية #أمريكا #العالم",neg
شيخ المسجد مشغل المكروفون وبيقول بلطجية برا عابزين يموتونا ، وانا واقف برا وشايف بعيني الناس بتحاول تطلعهم وهم رافضين …,neu
"' """"""البياض لايعني الجمال ، و السواد لا يعني القباحة ، فالكفن أبيض ومخيف ! والكعبة سوداء وجميلة ! والإنسان بأخلاقه ليس بمظهره ✋"""""""" '",neu
#خلق_جميل إذا جفت ينابيع السعادة فهاجر إلي كتاب ربك,pos
الحمد لله تملأ الميزان,pos
القائمة السوداء: بعض شيوخ الفضائيات الدينية الذين روجوا لأكذوبة اني ماسوني وأضافوا اليها بهائي وغيرها من الأكاذيب أيضا بحق ليبراليين آخرين,neg
' @Asiaaa_Omar ميرسى حبيبة قلبى ربنا يسعدك يا رب. http://t.co/dZ5S81eRH6 ',pos
نتمنى لرئيس الوزراء الدكتور عصام شرف الشفاء العاجل كما نتمنى ألا يكون مرضه مرضا سياسيا,neu
' مرحبا كيفك احمد رقم الهاتف الجوال 01114417616 01210708003 ',pos
#الشعب_يرد_تحية_الرئيس #انتخبوا_العرص #مصر_الليلة #إنصاف_الاخوان #يمهل_ولا_يهمل #مرسى_رئيسى #اشتون_قاتله,neu
انا مع خريطة طريق وجدول زمني للانتقال الديمقراطي ونطمئن من ثم المواطنات والمواطنين بأن مصر لن تكون مع حكم مجلس عسكري يستمر إلى ما لا نهاية,pos
' @AhmedHosny876 هو اللي مظبطنا :D ',pos
المقاطعة الشاملة للانتخابات كان يحب الحشد لها حتى تكون مؤثرة اما المقاطعة الفردية فهى اجمل هدية نقدمها للفلول هم يشترون الاصوات ونحن نبددها,neu
' كفايه صدمات يا كلااااااااب! ',neg
اخونا الحبيب نور الدين عبد الحافظ بخير احلى خبر من يوم مجزرة فض رابعة بشرة خير جديدة قبل سقوط الانقلاب ان شاء الله,neu
) ! #اولاد_ميت_عقبه #الزمالك #حب_الابيض_غير …,pos
#انتخبوا_العرص بقت مكتوبة ف كل شوارع #مصر,neg
#حركة_كايدينهم #مصر #قول_كلمه_للسيسي_وخد_فولو_هديه ياسيسى يا زعيييييييم #سأنتخب_السيسي #احنا_شباب_هنصوت_للسيسى,pos
' #لقاء_القرني_مع_دعاء #DoaaElSebaii  شايفها نفسها فين بعد سنه و بالنسبه للنجوم مصر غناء وتمثيل تحب تتعامل مع مين ؟ هل ممكن تغنى لمصر فبديتها ',neu
القاضى كريم اسماعيل,neg
الحكومة الحالية غير قادرة على إتخاذ قرارات وهي حكومة مرتعشة,neg
لقي الممثلون المصريون من منافقي سيسي والانقلاب ما يستحقونه من لعنات فى افتتاح مهرجان مالمو بالسويد انها البداية يا عبيد البيادة,neg
"' """"""بعد منتصف الليل يوآسي القمر أحد ضحايا العشق قائلاً : لا تحزن إن كنت وحيداً ، فَ أنا رغم جمالي وحيد"""""""" '",pos
' كم ٱشّتُقَتُ لكَ وِ لسًٱعة ٱللقَٱء فُروِحًيّ تُنٌٱدُيّك ألم تُسًمع ٱلنٌدُٱء؟ أتُعلم يّٱملٱكٱً أنٌٱر ٱلكوِنٌ بّٱلضيّٱء ',pos
' @arwaalhaj90 كله هري ... بليل هيبان كل حاجه ',neu
"' """""": الجهل يحقق رابطة متينة بين الفئات المصابة به، ويرصها جميعاً صفاً واحداً ضد الأعداء وراء الجدار في حالة استعداد دائمة للبدء في القتال\"""""""""""" '",neg
"#قنديل لـ""#السيسى"": عليك تقديم برنامجك الانتخابى وعدم التعالى على الجماهير #أخبار_مصر #الفجر",neu
