tweet,class
أريدك ملهمي وملتهمي رجلا حيناوحينا قلمي عليك اللهفة أحلام مستغانمي,neu
وعلى سبيل السعادة أخيرا قبلت بسبوسة وقولتلها واديتها الهدية بتاعتها سعيد,pos
أحاول أن أتعاطف مع من رماني بالخيانة والكفر واستخدم الدين لتحريض الناس على وعرض أسرتي للخطر وشكك الناس في ديني طب كيف,neg
بنت خالي وأختي هما صندوق أسراري,neu
أيها الإخوان إلا تذكرون شهيدا قتلتهم شرطة محمد إبراهيم بأوامر من مرسي عندما شكر مرسي القتلة وأعلن حظر التجول اعترفوا بجرائمكم,neg
استمرار مأساة غرق شبابنا في محاولات يائسة سعيا وراء لقمة العيشما هي أسبقياتنا وأين نحن من أهداف الثورة عيشحريةكرامة إنسانية,neu
أيوه بقى يا سلام على الكلام,pos
أنا أرشح قيادات وشرعي جبهة النصرة لنيل جائزة أوسكار في التأليف المسرحي وكتابة القصة الخيالية القصيرة ريتويت إذا كنت مؤيدا,pos
بتضحكني فكرة أن إخواني أو سلفي يقولك أنتم أتفه من أن نهتم بكم مع إنه بايت تقريبا طول اليوم على تويتر يبعت منشنات شتيمة وتكفيرمن التافه إذن,neu
حين نناقش قرار للحكومة نتحيز له بحجة بلاد بره كلها بتنام بدريتيجي لإطلاق حرية العقيدة نحن ما لنا ببلاد بره,neu
حسدونى بزيادة,neg
لمجرد أنك حتى الآن عايش هذا دليل على أنك حتى الآن قادر تعمل حاجات كثير,pos
يا حاج فوزي مسا مسا ولا يهمك خودي الكونت كله أصلا,pos
إشارة رابعة أشبه بنار تحرق الانقلابيين,neu
مأساة عضو العسكري وأحد المسؤولين عن الحكم المتظاهرين رفضوا تماما حمايتهم من المجهولين نجاح الثورة لا ريب فيه والنظام السابق إلى زوال,neu
محمد مرسي بميدان رابعة العدوية وقت الحملة الانتخابية هل يستطيع السيسي أن يخرج من مخبأه لترويج لحملته غرد بصور,neu
الأطفال ليهم الحق ف رأيهم السياسي أصل لما طفل يبقى صاحبة معتقل أو شهيد أكيد غير هيسكت,neu
الدونيا سيرك ومسرحية وناس كثير عينيها عليا,neg
على فكرة التي بيكتب بايو جميل وورود وصورته حاطتها عيون ورومانسية ويطلع في الآخر إخوان ابن كلب ويزعل منى من أجل بشتم فيهم طز فيه,neg
سلمي صاحية بتهيب ماذا,neg
إنتو كيف مبتحبوش البسله قلب,pos
الإسلام شيء غير هذا المعنى الذي أراد خصومه أن يحصروه فيه الإسلام عقيدة وعبادة ووطن وجنسية وسماحة وقوة وخلق ومادة وثقافة,pos
أزف الوقت لإنهاء الاستقطاب البائس الذي نعيشه بأسلوب عقلاني وأن نتحلى بروح التسامح لنبدأ في البناء بسواعد كل مصري ومصرية,neu
الانقلاب كشف مئات الحقراء في السياسة والإعلام والاقتصاد والفن والرياضة لكنه أضاء لغيرهم طريق الحرية شكرا سيف عبد الفتاح,neu
هل أنت تتعاطى أي نوع من أنواع المخدرات,neu
في وطني يموت من لا يستحق الموت على يد من لا يستحق الحياة سأنتخب السيسي ومش هنزل لمستواك,neu
من اتهموا الإخوان بالفاشية الإسلامية استقدموا علماء الدين لإقناع الجنود بقتل إخوانهم المصريين من المتظاهرين,neu
فندق أتلانتس,neu
علوم الإمارات قلب العثور على خادمات هاربات عبر حساباتهن في فيس بوك الإمارات,neu
أنغام وزيرة البهجة على رأي بلال فضل,pos
أنا لو تبي حتى الحين أجيك,pos
استهداف مقرات الإخوان ثم التيار الشعبي ثم الوفد هي خطة محكمة لإخلاء هذه الشقق وتأجيرها مفروش,neu
ورضيت أعيشلك أنت يا حبيبي كفاية أن أنت حبيبي عمرو دياب,pos
وعودة مرة أخرى للقاهرة الساحرة,pos
أطالب بمرسوم عزل سياسي لفلول الوطني,neg
أجمل الأوراق ورقة تكتب فيها لأغلى الناس,pos
اتمنالكامسيهسعيده كلهافرحوسرور,pos
عندك حق قلب,pos
مقدرش أحترم رأيك لو أنت من الإخوان أو من النكسجيه بتوع ثورة يناير ناقص تقولي أحترم رأي أعداءنا الإسرائيليين مصر الإخوان المعرضين,neg
والتي يطنش يطنش غدا يتطنش,neg
عزيزي المتطرف قبل أن تستخدم تعبير أسد في وصف شيخك فكر قليلا في مشاعر السيدة والدته,neg
ضياء رشوان أن الدكتور عبد المنعم أبو الفتوح الأكثر اعتدالا سياسيا وديننا كما أنه اجتهد في مقاصد الشريعة,pos
الاختيار قصة سيدي الحارث تربية خبط بالعقل أغنية كام واحد لزاب يخت القهوة أفضل ضيف زاب ثروت قلب أشهر زبون لكلوك,pos
هه,pos
بنحط جزء منها على تويتر لكن نص البيان بيكون على الفيسبوك أو على الموقع,pos
السعادة أخوية يهتم بيا أكثر من نفسه حتى وهو بعيد عني,pos
والعشم لما يطلع على الفاضي بتبقى أكبر مقلب ممكن تاخده,neg
الأهلي هيكسب فرق سكور كبير نيك,pos
والله ما عارف أضحك الله يحرق ثانوية عامة على مدرسينها واحد واحد,neg
الإخوان سيضاعفون اعتصاماتهم الإجرامية وغاراتهم المسلحة لأنهم تحت حماية أمريكا وحكومتنا تتفرج وتحدثنا عن أهمية التسامح طبقوا القانون أو ارحلوا,neg
متفق مع جوانب بمقال أحمد خالد توفيق وأعتقد أن التحفز ضد الحاكم دون فبركة أو كذب هو أمر مهم في بلد تعشق صناعة الفرعون,neu
ألهم اغفر لنا ولجميع أمة المسلمين وافي مرضانا ومرضى جميع المسلمين وانصر أهلنا في الشام وفلسطين والعراق واليمن وسائر ب ﻻ د المسلمين,pos
أنا بحكي طرمس حزين وكل جبل القصور بحكوا طرمس حزين,neu
لم يترك الانقلاب نقيصة إلا وعملها,neg
لا تبكي على شيء ذهب فكل ذاهب فالحب كالموت لا يعرف مذاهب,neu
د بل وأغراهم بالفعلة الإجرامية المتمثلة في تهديد المجتمع بالعنف وبالتحريض على ممارسته باسم شرعية سقطت وبالشحن الطائفي والمذهبي,neg
أنا سعيدة,pos
احتراف القيادة بكل معانيه شاهد هذا الفيديو وستراه بوابة المصدر خمسة لاعبين تحبهم من خارج فريقك,neu
أنا عنده مشكلة وومحتاجه مساعدة,neg
كان حلم حلو في أوله شوقنى أني أكمله يناير,neu
الوطن إنفوجراف الزيادة في أسعار,neu
ظهر مؤمن رابع بيعيش في إحدى كافيهات المهندسين,neu
كيف يعتدي البلطجية أبناء مبارك على الناس أمام آلاف فرد أمن وشاشات التليفزيون ويعترفون بجريمتهم في بيان ولا يقبض عليهم ولا حتى يحقق معهم,neg
ضد الانقلاب اعتداءات وحشية على المتظاهرين المتجهين للتحرير مع الانقلاب الله يرحم العصير والجوايز للمتظاهرين في التحرير,neg
في أول جولة الإعادة دعا الأسواني لجبهة تدعم مرسي بشروط الثورة فلما رفض الإخوان شروط الثورة دعا إلى المقاطعة ومواقفه كلها منشورة وهو فخور بها,pos
يسرقون رغيفك ثم يعطوك منه كسرة يا لوقايتهم ويا لهطل أمك,neg
بالنسبة للبنات إلى لما بترتبط ما بتكلمش ولاد هذا محن صح بصوت عمر مجدي كفاية محن بقي,neg
وقف وسلم علينا وكنت هحذف المنشور لقتكو حذفتونى شكرا ليكو,neg
كل عام وأنتم بخير وكل منا في سلام مع نفسه ومع الغير وفي وطن يتسع للجميعمازالت قناعتي أن شباب مصر الثورة هم الحل والأملفكر خلاق وقيادة فتية,pos
القلم اتكسر إيدكو على جنيه,neg
كلمة مرسي الموفقة في طهران حيتم توظيفها جيدا في الداخل بصراحة ما أقدرش ألوم الإخوان على استغلال مكاسب سياسية خارجية لخد,neu
المجد للمبتسمين المجد للمبتسمين صباحا,pos
اللجنة التأسيسية باطلة والإعلان الدستوري باطل والدستور نفسه باطل والاستفتاء سيكون باطلا أقسمتم على طاعة المرشد ونحن أقسمنا على حماية الثورة,neg
تجديد حبس ياسر على متحدث رئاسة المعزول يوما في قضية التستر على هشام قنديلقلب ياه وحشتونا ووحشتنا نوادركم,neu
ما حدش يجبرك على حاجة روحي الفيلم الكويس وقاطعي الوحش,neu
العالم سيشهد تجربة انتخابية بمصر لا مثيل لها وتربطنا مصالح مشتركة بإثيوبيا,pos
المشكلة هي في أنصار الجدل العقيم المشكلة هي في أحزاب وتيارات تريد دستورا رجعيا بنتقص من الحقوق والحريات باسم خطر متوهم هو مخالفة الشريعة,neg
حين أموت لا تحزنوا فإنه مجرد وقت وتنسوني كما نسيتوني وأنا حي,neg
كلا إن معي ربي سيهدين,pos
يوصل بالسلامة مصر هتنوور,pos
إياك نعبد وإياك نستعين,pos
أتابع بسعادة وإعجاب مئات المغردين الشجعان أسلوب شيق وخفة دم ورؤية ناضجة واستنتاجات مذهلة مواهب مصر كثيرة يدفنها الفساد والواسطة واللصوصية,neg
أحوال البشر عند الموت وفي البرزخ,neu
وأكتر ناس تآمنهم ما بيجي الجرح غير منهم وناس أنت بعيد عنهم بتنسى معهم الأحزان صلاح جاهين,neu
تقريبا هذه أكثر حاجة قريتها جسدت المذبحة التي حصلت لأقرب ما يمكن مذبحة بورسعيد,neg
الناس أم دم خفيف قلب,pos
لو صح خبر مبادرة قيادات الجيش بالاعتذار لمرسى وإعادة هيكلة الجيش ومحاكمة الانقلابيين والقتلة سيكون ذلك أفضل حل للأزمة وإنقاذ لمصر من الخراب,neu
الثورة كانت تستحق دستورا جديدا محترما تكتبه جمعية تأسيسية منتخبة ربنا يسامح من أوقعنا في هذا المأزق عموما الثورة لها جولة أخرى وستنتصر,neu
سأنتخب عمرو موسى ما هو أكيد يعني غير هينتخب يساري أو إسلامي,neu
لم أجد حل يحل محل الحال الحالي لحالتي حاليا,neg
باطل يا ولاد التيت من مسيرة المطرية أنا حازم مرسي رئيسي يا خاين يا سيسي حتما سنعود,neu
حقيقة ونصيحة الأفكار التي بتجيلك قبل النوم هذه لازمالها ورقة وقلم من أجل بجد بتبقى جامدة على المدى البعيد آه والله,pos
اليوم بقالي سنة تقريبا على تويتر أنا واحدة من إلى أضحك عليهم ف يناير وسبب رئيسي من نشأة الحساب أني أفهم أبعاد المؤامرة من أصحاب الفكر,neu
حاجة تستفز منها الأطفال التبتة,neg
ليكن كلامك مع من حولك عنوانه دائما الإيجابية والتفاؤل وأساسه محبة الخير للغير صباح ال خير,pos
ياسر أبو عمار في سياسة في دين غيرت موقفي من حزب النور بسبب مواقفه المخزية مع الرئيس محمد مرسي ووقوفه مع,neg
قرار انسحاب البرادعي خاطئ وتوقيته خاطئ السادة المحترمون,neg
ولا لاعب لعب الماتشات ال اللاعبين كلهم تغيبوا في بعض الماتشات,neu
لا تلموا الفرعون ولكن لوموا أشعب احترف صناعة الفراعنة وتأليههم,neg
وكل عيد قيامه وأنتم ومصر بخير,pos
الإخوان لا يحرقوا كنائس يا مروج الكذب,neg
هذه هي نتيجة تخريب عقول مشايخ الفتنة لعقول المصريين يا خفي الألطاف نجنا مما نخاف,neu
هناك مكان في قاع الجحيم لمن اخترع تويتر,neg
أنت بتعمل ماذا,neu
التي يشوفك يتمنى يكون مثلك والتي يعرفك يحترمك ويحبك والذي يسمع عنك يتمنى يقابلك حاول,pos
عن الشخص الذي بيبقى نفسك تفضل تتكلم معه ساعة في اليوم,pos
وربنا هكذا كثير,neg
ساكت من برا فقط راديو من جوا,neg
أسطورة أغلبية الشعب معه نصف الشعب طنش الانتخابات ونصف الذي شارك لم ينتخب مرسي ونصف الذي انتخبه عاصر لمونة وبيتظاهر ضده,neu
وأخيرا نت وأخيرا شفت اميقلبقلب,pos
أنا باجي على الوقت هذا وببقى عاملة هكذا سوري أم نوت سوري,neg
هم الوزير العلقمي واز ﻻ مه الذين فتحوا أبواب بغدادللتتارالمغول هم أحفاد أبي رغال رائدالعدروالخيانه,neg
الانقلاب يدمر ثورة يناير بدأوا بالإخوان وتحولوا للكتل الثورية من الشباب واليوم يذبحون الالتباس,neg
null null حد صاحي غيري أنا,neu
أيام حلوة الأيام عمرو دياب,pos
شاي وبسكويت للمرة الرابعة على التوازي سعيد,neu
سئل حكيم هل هناك أقبح من البخل قال نعم الكريم إذا تحدث بإحسانه لمن أحسن إليه,neu
للأسف غير قادر أنسى أصلا,neg
تحية وتقدير ل چ ور چ إسحاق ستبقى دائما رمزا للشجاعة والوطنية وإنكار الذات الثورة مدينة لك بالكثير,pos
أفضل لاعبي الدوري الإنجليزي في سنة ٢٠٠٩ رونالدو في الصيف الذي يليه انتقل إلى الريال ٢٠١٣ بيل في الصيف الذي,neg
الدم المصري كله حرام أدين الاعتداءات على مقار الإخوان والحرية والعدالة وكافة أشكال العنف جميع الضحايا مصريون لا فرق بين إخواني وآخر,neg
مينا معها شيرين يحيى,neu
كل الدساتير الماضية سقطت لأنها لم تكن وفق إرادة مجتمعية السادة المحترمون,neg
الحياة جميلة عندما تستخدم أدوات السعادة بها الأمل والفأل الحسن والإيجابية والإيمان بقضاء الله وقدره خيره وشره,pos
لا إله إلا الله والله أكبر,pos
رجولته وهبتني أنوثة مختلفة م اجعلني بك صباحي,pos
إغلاق كل الساحات والميادين الكبرى لمنع صلاة العيد وصمة عار على الانقلاب وحسابهم في الآخرة عسير,neg
ماذا تفعل المعدة إذا فاجأها الكبد بضربة قاتلة أنها مصر ضرباتنا القاتلة تأتينا ممن كانوا أهلنا وجيراننا وأبنائنا,neg
كنت واثق أن أحداث رابعة والدماء التي سألت سوف تكون لها اثارلكني لم أتخيل أبدا أنها تصبح وقود يلهب مشاعر الملايين وتحي,neu
لا ولا دحيح ولا نيله فقط في مستقبل بيضيع والامتحان بعد غدا,neg
ما يحتاج أكثر فريق فايز بالدوري والأبطال قلب,pos
أما المتأسلمين الجهال أدعياء السلفية الجامية لا أخلاق ولا مبادئ يتشمتون ويضحكون على جثث مجزرة رابعة العدوية,neg
ذلكم بأنه إذا دعي الله وحده كفرتم وأن يشرك به تؤمنوا فالحكم لله العلي الكبير غافر أحبك ربي,pos
وصلت المطار من الدقي في دقيقة فعلا ساعة الحظر ما تتعوضتش,neg
انتخبوا العرص سؤال فقيق انتخابات الرئاسة القادمة بين السيسي وصباحي عبارة عن تمثيلية لا هذه مسرحية بطولة اتنين واحد هاشتاج والتاني محتاج,neg
نص فريق تنزانيا متآمر على حارس مرماه حاجة تفطس من الضحك,neu
الاعتداء على الفنان خالد يوسف من قبل بلطجية أبو إسماعيل يدل على أن مرسي وجماعته قد انتقلوا بمصر من الدولة إلى العصابة ستسقطون كما سقط مبارك,neg
صلاة الفجر ركعتين بين أدين ربنا ب الدنيا كلها قلب,pos
ما بين همزة وصل وعلامة تعجب تكمن الحكاية,pos
أحد ضحايا عنف الإخوان المسلمين المؤيد للفريق السيسي السادة المحترمون,neu
صور حصري من مطار القاهرة لاستقبال القبطان والصقر,pos
الهولوكوست أبشع جريمة في التاريخ الحديثصوتي يا انشراح على أساس أن التي بيحصل للفلسطينيين غير مكفية,neg
يوسف الحسيني كل ما ندعمه هو عدم سقوط أرض الياسمين ذات التاريخ العظيم,pos
كلية كلبه جدا,neg
في ضوء الفوضى والتشرذم حان وقت تصحيح المسار دستور جديد يضيء الطريق ويحدد الثوابت انتخابات برلمانية عندما يستوي الملعب ثم انتخابات رئاسية,neu
أحبك ربي الحمد لله,pos
يسلموا,pos
أثق في رؤية أحمد سعيد وأعلم التزامه بمبادئه وأنا معجب بتصريحه أن الحزب يستطيع أن يكون حزب الأغلبية وأتمنى فوزه في الانتخابات لتحقيق تلك الرؤية,pos
من أخلاق الإخوان لله دركم ياآبناء البنا مرسي رئيسي الشعب يرد تحية الرئيس انتخبوا العرص إنصاف الإخوان,neu
الاتصال برقم الطوارئ أو الشكوى لدى المخفر التابع الذي يقع مكان إقامتك ضمن النطاق الإقليمي,neu
هذي حقول نفط ليبيا تحترق,neu
عظيم عظيم,pos
مصر رفع شعار رابعة أثناء كلمة أوباما ف ماليزيا المؤمن للمؤمن كالبنيان المرصوص ઊ انتخبوا العرص,neu
الأمن والأمان في حكم العسكر أصبحنا فعلا الحوكمة العالم انتخبوا البرص,neg
كانوا أقزاما مع ناصر والسادات ومبارك وطنطاوي والآن يقولون إلا السيسي الخسيسي يفضل طول عمره خسيسي,neu
ومكملين المشوار من تريد يسمع راديو رنا,neu
خلي السيسي ينفعك,neg
عاش محمد مرسي مفجر ثورة ديسمبر وحفظ الله الغباء صديق السياسيين الفشلة الوحيد ورحم الله الشهداء السابقين واللاحقين,neu
هيا نحفل على أحمد آدم الرد هشتاج بردوا باسم طلع حرامي,neg
الإعلام الفاسد وفئرانه أميركا تساند الإخوان واليوم وفد من الكونجرس يلتقي سيسي والطرطور وبلاوي مجانين رسمي,neg
أنا أكثر حاجة ممكن تخسرنى حد أنه ميصدقنيش أنه يكذب الكلام الذي بقوله,neg
معك يا ريسنا معك تحيا مصر السيسي حبيب الملايين سأنتخب السيسي,pos
بيان الجيش واضح ولا مجال للحديث عن انقلاب عسكري إلا من كذابي الإخوانمرسي استهان بشعبه وقرر أن يكون رئيسا لعشيرته فقط فأسقطه الشعب,neg
حمدين تريد يحاكم السيسي هذا غير كلام يا ناس هذا اتفاق حمضين مع الإخوان مصيبة لو استبدلنا أهبل بعبيط سأنتخب السيسي ومش هنزل لمستواك,neu
الوطن أكثر من مهاجر يعبرون الأسلاك الشائكة إلى جيب مليلية الإسباني,neu
رئيس يطبق الشريعة دون أن يكون مسلما ولا يسير في مواكب مصفحة ولا يكذب على الناس بحركات استعراضية ويفتح قصره للفقراء,pos
يا قوة الله يا قوة الشعب,pos
مصر غير تكية يا هاشتاج يا ابن المثالية,neg
عبد الرحيم علي اسألوا البرادعي عما فعله في العراق البرادعي طلع جاسوس باسم طلع حرامي تخابر خونة,neg
أجمع ٣ إعلانات دستورية واحصل على طائر النهضة مجانا ٠٠ هذا العرض ساري حتى ١٥ديسمبر,neg
بيونغ يانغ تشبه رئيسة كوريا الجنوبية بعاهرة وأوباما بقوادها كوريا الشمالية أمريكا العالم,neg
شيخ المسجد مشغل المكروفون وبيقول بلطجية برا عايزين يموتونا وأنا واقف برا وشايف بعيني الناس بتحاول تطلعهم وهم رافضين,neu
البياض لا يعني الجمال والسواد لا يعني القباحة فالكفن أبيض ومخيف والكعبة سوداء وجميلة والإنسان بأخلاقه ليس بمظهره,neu
خلق جميل إذا جفت ينابيع السعادة فهاجر إلى كتاب ربك,pos
الحمد لله تملأ الميزان,pos
القائمة السوداء بعض شيوخ الفضائيات الدينية الذين روجوا لأكذوبة أني ماسوني وأضافوا إليها بهائي وغيرها من الأكاذيب أيضا بحق ليبراليين آخرين,neg
ميرسي حبيبة قلبي ربنا يسعدك يا رب,pos
نتمنى لرئيس الوزراء الدكتور عصام شرف الشفاء العاجل كما نتمنى ألا يكون مرضه مرضا سياسيا,neu
مرحبا كيفك أحمد رقم الهاتف الجوال,pos
الشعب يرد تحية الرئيس انتخبوا العرص مصر الليلة إنصاف الإخوان يمهل ولا يهمل مرسي رئيسي أشتون قاتلة,neu
أنا مع خريطة طريق وجدول زمني للانتقال الديمقراطي ونطمئن من ثم المواطنات والمواطنين بأن مصر لن تكون مع حكم مجلس عسكري يستمر إلى ما لا نهاية,pos
هو الذي مبطنا,pos
المقاطعة الشاملة للانتخابات كان يحب الحشد لها حتى تكون مؤثرة أما المقاطعة الفردية فهي أجمل هدية نقدمها لفلول هم يشترون الأصوات ونحن نبددها,neu
كفاية صدمات يا كلاب,neg
أخونا الحبيب نور الدين عبد الحافظ بخير أحلى خبر من يوم مجزرة فض رابعة بشرة خير جديدة قبل سقوط الانقلاب إن شاء الله,neu
أولاد ميت عقبة الزمالك حب الأبيض غير,pos
انتخبوا العرص بقت مكتوبة ف كل شوارع مصر,neg
حركة كايدينهم مصر قول كلمة للسياسي وخد فولو هدية يا سيسى يا زعيم سأنتخب السيسي نحن شباب سنصوت للسيسى,pos
لقاء القرني مع دعاء شايفها نفسها أين بعد سنة وبالنسبة للنجوم مصر غناء وتمثيل تحب تتعامل مع من هل ممكن تغني لمصر فبديتها,neu
القاضي كريم إسماعيل,neg
الحكومة الحالية غير قادرة على اتخاذ قرارات وهي حكومة مرتعشة,neg
لقي الممثلون المصريون من منافقي سيسي والانقلاب ما يستحقونه من لعنات في افتتاح مهرجان مالمو بالسويد أنها البداية يا عبيد القيادة,neg
بعد منتصف الليل يواسي القمر أحد ضحايا العشق قائلا لا تحزن إن كنت وحيدا ف أنا رغم جمالي وحيد,pos
كم ٱ شتقت لك ولس ٱ عة ٱ للق ٱ ء فروحي تن ٱ ديك ألم تسمع ٱ لند ٱ ء أتعلم ي ٱ مل ٱ ك ٱ أن ٱ ر ٱ لكون ب ٱ لضي ٱ ء,pos
كله هري بليل هيبان كل حاجة,neu
الجهل يحقق رابطة متينة بين الفئات المصابة به وحرصها جميعا صفا واحدا ضد الأعداء وراء الجدار في حالة استعداد دائمة للبدء في القتال,neg
قنديل للسيسى عليك تقديم برنامجك الانتخابي وعدم التعالي على الجماهير أخبار مصر الفجر,neu
الإقبال على اليوم تاريخي يا فندم قلب نحن مستنيين من الآن أصلا سعيد قلب,pos
هناك مكان أسفل الجحيم لكل واحد بيقعد يدافع عن حد لدرجة أنه بيحسسك أنه إله مبيغلطش السيسي مرسي باسم برهامي هيا نحفل على أحمد آدم,neu
صباح الغلا,neg
الإخوان انتقلوا في ظرف نص ساعة من تكذيب خطاب البنك المركزي لأن اليوم السبت إجازة البنوك إلى تحليله لإثبات أنه بيأيد كلام مرسيألا تنبهرون,neu
رفض التلفزيون المصري ظهوري في برنامج عمرو خالد حملة التعتيم والتشويه مازالت مستمرة,neg
ألف مبروك للعالمي ولجماهيره النصر الهلال,pos
جمال خيال حقيقة جميل درر حكم أعجبني حكمه بقلمي شوق بوح شعر قصيد رويت خمس آلاف متابع ب ريال,neg
٢ بابا الأزهر وشيخ الكنيسة دعامتان لعصابة الانقلاب ترزي الفتاوى على جمعة حاضر دائما لعبوا على الغرب لكذبة حرق الكنائس واضطهاد الأقباط,neg
اختارت صحيفة كريستيانو كأفضل لاعب لعام التاني على التوالي أصوات أكثر من صحفي,neu
هذا هما الغلط ذاته,neg
مينا عطا مينو اتأخرت لماذا يا مان,neu
ينهمر ف البكاء مرة أخرى,neg
حاولت أكثر من مرة ألبس بيجاما في البيت وأعمل ابن ناس فقط الجينز بيستهويني حتى جوه البيت أفضح نفسك,neu
غياب العدل في وطني يبشر بانفجار غضب بركاني شعبي يسقط حكم العسكر الداخلية بلطجية انتخبوا العرص,neg
سؤال برئ لبتوع تويتر ماذا الفرق بينك وبين الفيسبوك الآن يابن المرة بروفايل عره,neg
الأقباط المعينين في مجلس الشورى خانوا أنفسهم ووطنهم وكنيستهم لقد رفضت عرض أن يكون اسمي ضمن المعينين وكنت أتمنى أن ي,neg
الناس التي حضرت حفلات البرلمان القديم يا ريت ما يحضروش الحفلة التي جاية وخاصة أن مفيهاش رقص المرة هذه,neg
بالفيديو نوال الزغبي أطلقت كليب أغنيتها الهيت ولا بحبك,neu
في ناس من أنصار أبو إسماعيل زعلانين ونازلين شتيمة واضح إنهم محبطين من أجل غير هيبقى في اعتصام ودبح عجول وكدهمعلهش اطلعوا مدينة الإنتاج آخر,neg
بيقولك سكاي نيوز إخوان إنما السيسي هيضرب الأسطول الأمريكي بالسيف الأوميجا انقلاب مصر مرسي رئيسي,neu
طبعا قلب,pos
الخواتم المتصلة بأسلوب نانسي عجرم ووفاء الكيلاني وكيم كارداشيان,neu
اعتراف من نقابة الصحفيين الفاسدة هناك مناخ معادي لحرية الصحافة بعد الانقلاب أكثر من أي وقت سابق الصحافة اتهانت,neg
سنة للنسيان,neg
في عظمتك ملقتش كثير بتكسب وتفرح الملايين الأهلي,pos
يا باشا أنا تحت أمرك فقط أنت قول جزر هاتلاقيني خلينا بعد يناير من أجل الزحمة,pos
أهداف وفرص ريال مدريد في كلاسيكو كأس الملك,neu
هه خلص وأنت بخير وبنحكي أيضا هه,pos
اللغة تراث,pos
دستور لا يمر بموافقة ثلثين الشعب على الأقل وفقط بالأغلبية المطلقة يبشر بانقسام الوطن والإطاحة بالاستقرار ولن يعمر,pos
السبوعين التي فاتو كانوا من أكبر فترات الضياع التي عشتها فحياتي فيه حاجة غلط بجد,neg
في كل الدنيا يلتزم المسؤولون بتنفيذ تصريحاتهم المشير طنطاوي صرح بأن سيوقف إحالة المدنيين إلى محاكم عسكرية وكل يوم تتم إحالة مدنيين جدد,neu
رنا سماحة عندما سعيت لدعمك تعرفت على أشخاص يملكون في قلوبهم الطيبة ويسعون لهدف هو دعمك الجيش الغنوشي رنا سماحة مع عمرو الليثي,pos
